Country Code,Country Name,Region,Subregion,Policy Measure Category,Policy Measure Type,Policy Measure Sub-Type,Policy Measure Description,Source,Addresses VAWG,Targets Women's Economic Security,Directly supports unpaid care,Gender Sensitive,Environmental relevance,Positive for environment,Gender-Green Nexus
GEO,Georgia,Asia,Western Asia,Violence against women,Strengthening of services,Police and justice responses to address impunity,"The court has been operational remotely. As a result of assessment of the epidemiological situation, reporting at the probation bureaus resumed for those accused of family violence.",https://www.africanews.com/2020/05/19/ethiopia-s-coronavirus-rules-crowd-ban-free-transport-regulate-essentials-etc// ;,YES,NO,NO,YES,NO,NO,NO
GEO,Georgia,Asia,Western Asia,Violence against women,Awareness raising campaigns,Not specific,"The Ministry of Internal Affairs of Georgia has sent out messages to the population at large (in Georgian, Armenian and Azerbaijani) regarding the emergency hotline and relevant mobile application for the survivors of violence against women/domestic violence. PSAs with the participation of high rank officials calling on the public to report the incidents of violence against women/domestic violence have also been produced.",https://africacenter.org/daily-media-review/africa-media-review-for-april-9-2020/ ;,YES,NO,NO,YES,NO,NO,NO
GEO,Georgia,Asia,Western Asia,Violence against women,Strengthening of services,Continued functioning and expansion of shelters,"The state ensured non-stop access to free services for survivors of domestic violence, such as crisis centers and shelters. From the beginning of the crisis, the Agency for State Care and Assistance for the (Statutory) Victims of Human Trafficking, restructured the model of service provision for all ten state-run crisis centers and shelters. In order to prevent the spread of COVID-19, the new beneficiaries are temporarily accommodated in separate spaces. Some of the services are being provided remotely, and the staff are regularly supplied with hygiene and personal protective equipment.",https://twitter.com/ashenafi_meaza/status/1248129375255527424,YES,NO,NO,YES,NO,NO,NO
GEO,Georgia,Asia,Western Asia,Violence against women,Integration of VAWG in COVID-19 response plans,Not specific,"To mitigate increased risks of violence against women and domestic violence, the Inter-Agency Commission on Gender Equality, Violence against Women and Domestic Violence at the Human Rights Council adopted the Communication Strategy on Violence against Women and Domestic Violence during the COVID-19 Crisis. The strategy was developed in partnership with local and international partners and implemented through the crisis to ensure access to information and alternative ways of reporting domestic violence. The Ministry of Internal Affairs continued regular and proactive response to the cases of violence against women and domestic violence. Although the number of such cases did not increase during the crisis, the Ministry of Internal Affairs took special measures to develop a new methodology for detecting and responding to domestic violence cases.",https://www.unwomen.org/en/news/stories/2020/6/from-where-i-stand-simret-tesfaye ;,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Continued provision of psychosocial support ,"The government has launched a toll-free helpline number - 08046110007 - for people who may face any mental health issue due to the ongoing countrywide lockdown to contain the spread of coronavirus. Further, the National Commission for Women has extended its base of counsellors available to address psychosocial needs of women survivors of violence.",Information provided by UN Women and/or UNDP country office,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"In addition to its helpline, 1516, the Authorities have set up a phone number, which can be reached through messages on WhatsApp and SMS.",https://africa.unwomen.org/en/news-and-events/stories/2020/11/what-happened-after-covid-19-hit-ethiopia ;,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Continued functioning and expansion of shelters,"In order to ensure continuity of essential services and to meet the needs of survivors of violence in the midst of COVID-19, the Ministry of Health and Family Welfare released guidelines for One Stop Centres and local health centres to ensure continuity of shelter and counselling facilities for women survivors of violence.",Information provided by UN Women and/or UNDP country office,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Police and justice responses to address impunity,"The Government has shared National Legal Aid Services Authority’s (NALSA) directory of Legal Service Institutions functional across the country along with NALSA Legal Aid Helpline and online portal with all the One Stop Centers and Women Helplines to facilitate legal aid and counselling to women facing violence. At the regional level, the Delhi State Legal Services Authority (DSLSA) announced specific measures such as collaboration with Mother Dairy booths (Milk Booths), pharmacists and chemists for information on survivors of violence and also launched an app to deliver legal aid to these individuals. DSLSA has also tied up with anganwadi and ASHA workers who might come across domestic violence cases in their areas.",https://gambia.unfpa.org/en/news/first-lady-gambia-launches-2020-swop-report-and-national-gender-based-violence-helpline,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"The Government of India strengthened existing helplines for women, and extended emergency response mechanisms to address issues of domestic violence and intimate partner violence. Key helplines, including the ones established by the Chief Ministers' offices in their respective states, are operational both at the National and Sub-National levels. An example of sub-national measures is the 112-emergency helpline in the state of Uttar Pradesh, which creditably published a message “Suppress corona, not your voice,” and promised provision for a female officer to handle each gender-based violence case.",https://standard.gm/domestic-and-gbv-in-gambia-during-covid-190/,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Police and justice responses to address impunity,The State of Odisha came out with an initiative through which police officers will contact women who had earlier reported domestic violence to enquire about their condition over phone during the ongoing lockdown.,https://standard.gm/domestic-and-gbv-in-gambia-during-covid-190/,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Continuity of health sector response to VAW,"Towards menstrual health of women, ‘sanitary napkins’ were included within the definition of essential/basic needs by the Ministry of Home Affairs ensuring their continued availability in the market. Further, the Ministry of Women and Child Development organised a webinars on ‘Safety and Wellbeing of Women – Interaction with One Stop Centres (OSCs), Women Helplines (WHLs) and Women Homes + Menstrual Hygiene for female migrant labour, quarantines, shelter homes"" that focused on COVID-19, health care, Psycho-social first aid and legal needs of women survivors of violence.",https://www.africanwomeninlaw.com/post/locked-down-with-abusers-covid-19-and-access-to-justice-for-domestic-violence-victims-in-ghana ;     ,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Police and justice responses to address impunity,"W.P. URGENT2/2020 on Extension Of Interim Orders automatically extended the duration and validity of all protection orders. The State has continued to hear specifically domestic violence and violence against women cases. At the regional level, the Delhi High Court has given an order in April 2020 to the Delhi State government and Central government with regard to protection of women from domestic violence during the pandemic; and the Jammu and Kashmir High Court directed all courts in Jammu and Kashmir and Ladakh to treat cases of domestic abuse as urgent.",https://ghana.unfpa.org/en/news/unfpa-supports-dovvsu-activate-domestic-violence-hotline,YES,NO,NO,YES,NO,NO,NO
ISR,Israel,Asia,Western Asia,Violence against women,Strengthening of services,Continuity of health sector response to VAW,"In March, as the pandemic peaked in Israel, for a short period in March the special medical centers for victims of sexual assault were closed, along with all non-life saving medical treatments at the hospitals. The centers were closed between 15-30 March and were reopened by instruction of the Ministry of Health on March 31st.",https://ghana.unfpa.org/en/news/unfpa-continues-work-towards-achieving-its-mandate-zero-recorded-cases-sexual-and-gender-based ;,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Strengthening of services,Continued provision of psychosocial support ,"One stop Crisis Management Centres (OCMS) are providing health services in 66 districts where it is operational (out of 77 districts). OCMC is providing the following services – free health service, coordination with safe homes, psychosocial counselling, and referral to police. OCMCs are being increased in 7 more locations. MoHP has sent reporting formats to all 66 OCMCs in the country and are planning to establish OCMCs in all the 77 districts next fiscal year.",https://webcache.googleusercontent.com/search?q=cache:M3V0ks8YTCcJ:https://ghana.un.org/en/download/71858/133474+&cd=2&hl=en&ct=clnk&gl=ke,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Collection and use of data,Not specific,"A Rapid Gender Assessment commissioned by the Ministry of Women, Childen and Senior Citizens, in partnership with CARE, Save the Children and UN Women has been conducted. The report is available online.",https://guinea-bissau.unfpa.org/en/news/united-nations-population-fund-unfpa-and-ubuntu-guinea-bissau-academy-launch-remote-awareness,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Collection and use of data,Not specific,National Women’s Commission has published a report titled “Activities carried out by National Women’s Commission to address violence against women during the lockdown caused by COVID-19 pandemic.” The report covers the timeframe from 24 March to 23 May 2020.,https://wbl.worldbank.org/en/wbl-data,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Integration of VAWG in COVID-19 response plans,Not specific,"The Government of Nepal has adopted the Health Sector Emergency Response Plan. Additionally, the Nepal Preparedness and Response Plan (NPRP) was developed in April 2020 by the Humanitarian Coordination Team led by the Government of Nepal via 11 sectoral clusters. In regards to the NPRP, the GoN-led clusters have been activated. Violence against Women and Girls largely falls under the mandate of the Protection cluster led by the Ministry of Women, Children and Senior Citizens/Department of Women and Children at federal level and Ministry of Social Development at provincial level, with UNICEF and UNFPA being the co-leads. The Protection Cluster has activated five protection thematic groups: 1) child protection, 2) gender-based Violence 3) psychosocial support, 4) migrants/points of entry and 5) persons of concern/refugees, for preparedness and response coordination. The GBV Sub-cluster will lead efforts to prevent and respond to gender-based violence from the early stages of the emergency, relief and recovery.The protection clusters are now activated in all the seven provinces. These efforts were aimed at effective coordination mechanisms at provincial, district and municipal level in response to COVID-19 situation and any future disasters that may arise. In some provinces like Karnali Province, the Protection Cluster Preparedness and Response Plan has been endorsed by the Ministry of Social Development.",https://news.trust.org/item/20200706165923-pey3m/ ;,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"The National Women’s Commission (NWC) has a 24-hour helpline service.  NWC has also been providing counselling services to survivors of gender-based violence.  In the COVID-19 context the helpline has been linking survivors to various services – legal counselling, psychosocial counselling, shelter homes, and child care support services.",https://news.trust.org/item/20210423132124-726sz ;,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Strengthening of services,Police and justice responses to address impunity,"The Nepal Police has appointed coordination officers in all Provincial and Metropolitan offices. Circulars have been sent to all police stations to address gender-based violence with high priority, and gender-based violence data is updated in the Nepal Police website. The Nepal Police has developed and disseminated information materials on GBV services during COVID-19.",https://gender.go.ke/wp-content/uploads/2021/04/Statement-by-Cabinet-Secretary-on-Increased-GBV-in-the-Country.pdf ;,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Strengthening of services,Coordinated accessible services,"National Women's Commission (NWC) published a list of GBV service providers working during COVID-19 on 20 May 2021. The list is accessible on NWC's publications page (http://www.nwc.gov.np/publication) and the direct link to the list is provided in the next column. The list includes contact details for service providers in the areas of shelter, psychosocial counselling, legal, OCMCs, and others. An updated GBV Service Directory was published on 21 June 2021 and is accessible at http://www.nwc.gov.np/Publication_file/60d196fd45038_GBV_Service_Directory.xlsx. NWC also published a Factsheet of its 24-hour toll free helpline to survivors of GBV. ",https://www.reuters.com/article/us-health-coronavirus-kenya-women-trfn/kenya-orders-probe-into-rise-in-violence-against-women-and-girls-during-pandemic-idUSKBN2472ER,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Other measures,Not specific,"The Ministry of Women, Children and Senior Citizens (MoWCSC) developed and published a GESI checklist in June 2020 to monitor quarantine facilities in cooperation with UN Women. The checklist is a practical tool to assess the safety, dignity and service provisions of quarantine centres for women, girls, children, persons with disabilities, LGBTIQ members and other vulnerable and excluded groups. The checklist contains a dedicated section on preventing GBV, sexual harassment, exploitation and abuse. The checklist is available in both Nepali and English",https://wbl.worldbank.org/en/wbl-data,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Integration of VAWG in COVID-19 response plans,Not specific,The Government of Nepal presented its federal budget for financial year 2078/79 (FY 21/22) on 29 May 2021. There is an  increase in the allocation for the program on prevention of GBV and Human Trafficking from USD 3.13 million in FY 20/21 to approx. USD 3.64 million in FY 21/22.,https://maarifa.cog.go.ke/assets/file/Social%20economic%20Re-engineering%20recovery%20strategy.pdf,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Strengthening of services,Coordinated accessible services,"In response to COVID-19, the Federal Ministry of Women, Children, and Senior Citizens the the Provincial Ministry of Social Development, with UNICEF and UNFPA, will provide support to identified vulnerable families to decrease vulnerability and protection risks, including violence against children, GBV, trafficking, etc., through target assistance and referrals. The activation and maintainance of referral pathways for essential services on GBV, psychosocial support and violence against children are also part of Nepal's COVID-19 response plan. ",Information provided by UN Women and/or UNDP country office,YES,NO,NO,YES,NO,NO,NO
NPL,Nepal,Asia,Southern Asia,Violence against women,Strengthening of services,Coordinated accessible services,"In response to COVID-19, the Federal Ministry of Women, Children, and Senior Citizens and the Provincial Ministry of Social Development, with UN support, ensured essential GBV prevention and response services, such as sexual and reproductive health care, psychosocial counselling, safe houses/shelters and strengthened GBV referral pathways, including adequate resources and capacity to provide COVID-19 survivor-centred services.",https://drive.google.com/file/d/1tajeb0jluIjku0bm2quR6Reaa3tLHHll/view?usp=sharing ;,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"The Ministry of Human Rights (MOHR) Pakistan has started a free, nationwide helpline to report domestic abuse cases, in an attempt to end violence against women. People can report cases by calling 1099 or by downloading the ministry's rolled out app Helpline 1099.",https://www.facebook.com/Sepmudbo/posts/651097265437743;,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Collection and use of data,Not specific,"The government, with support from UN Women, has recently produced EVAW Gap Analysis Reports in two provinces and at the federal level as well.",https://www.facebook.com/CDDBol/posts/1056595268098584,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Collection and use of data,Not specific,"The Ministry of Human Rights updated the capacities of helplines by integrating data collection and an analysis dashboard to collect, monitor and disseminate data on VAWG, GBV and DV. The Ministry of Human Rights at the national level and police and Rescue 1122 at the provincial level have shared their data of helpline calls with UN Women to conduct a rapid assessment of increased cases of GBV and DV under lockdown.",https://drive.google.com/file/d/1Bfj5Mm4YjYpSm6GEGiPhGZY-BxiHkuO1/view?usp=sharing,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"A specific national cyberviolence helpline was improved with innovative tools such as a mobile application with a silent panic button and text message (SMS), WhatsApp and online support for better access during the COVID-19 crisis",https://www.facebook.com/Sepmudbo/posts/675547676326035%0a%0a;%20;,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Strengthening of services,Coordinated accessible services,Ministry of Human Rights has put together a directory of GBV services available in Pakistan for survivors to access.,https://twitter.com/pagina_siete/status/1267624205740367874?s=19;,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Collection and use of data,Not specific,"The Ministry of Human Rights and National Commission on Status of Women, in collaboration with UN Women Pakistan, published a policy brief on Gendered Impacts and Implications of COVID-19 and how the existing inequalities will worsen, and gaps will widen.",https://www.facebook.com/Sepmudbo/posts/675547676326035;,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Strengthening of services,Coordinated accessible services,The Ministry of Human Rights has not only integrated a GBV lens into their policies but also taken affirmative steps through strengthening of their national helpline to include GBV and COVID-19 related referral pathways as well as geotagging of stress calls to provide immediate and targeted redressal support.,https://www.facebook.com/Sepmudbo/posts/668472067033596,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Integration of VAWG in COVID-19 response plans,Not specific,"The national government has integrated measures to address VAWG in a comprehensive manner under the Socioeconomic Impact Plan and Pakistan’s Preparedness Response Plan for COVID-19 to curtail the immediate impacts by December 2020 and Provincial Governments have incorporated Gender Responsive Planning Guidelines in their Planning and Budgetary aspects by specific focus on socioeconomic impacts of COVID-19 for next fiscal year. The plan is to be implemented in three phases; the short term in 3 months, medium term in 6 months and long term in 12 months.",https://drive.google.com/file/d/1krBa8nz08PyE5Z_t3FQT4a0re63-H16P/view?usp=sharing,YES,NO,NO,YES,NO,NO,NO
PAK,Pakistan,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"The Punjab Safe Cities Authority, in collaboration with UNFPA, upgraded the Women Safety app, which allows women to alert the authorities of any emergency, harassment or domestic violence.",https://www.unwomen.org/-/media/headquarters/attachments/sections/library/publications/2020/brief-online-and-ict-facilitated-violence-against-women-and-girls-during-covid-19-en.pdf?la=en&vs=2519,YES,NO,NO,YES,NO,NO,NO
LKA,Sri Lanka,Asia,Southern Asia,Violence against women,Strengthening of services,Continuity of health sector response to VAW,"The Ministry of Health issued specific guidelines for Mithuru Piyasa/Natpu Nilayam staff gender-based violence help desks within state hospitals to be adopted during COVID-19 pandemic, including adopting flexible remote arrangments to ensure continued service provision during curfew periods.",https://www.unodc.org/documents/Advocacy-Section/ES-Brief-FINAL_WEB_VERSION.pdf,YES,NO,NO,YES,NO,NO,NO
LKA,Sri Lanka,Asia,Southern Asia,Violence against women,Strengthening of services,Police and justice responses to address impunity,"The Ministry of Women and Children and Social Services has a collaboration with the Police and helpline services to obtain curfew passes to ensure safe transportation of survivors to shelters during curfew periods. Additionally, the judicary undertook the first phase of remote court hearings; there's an extended government relief package to 12,000+ women clients of the Legal Aid Commission; a compilation of laws/regulations related to quarantine and restriction of movement (including women and girls) was shared among legal professionals, judiciary, human rights institutions, and other stakeholders who would be in a position to assess legal compliance of ad-hoc measures introduced during the pandemic.",https://urgente.bo/noticia/de-1743-denuncias-en-la-cuarentena-1370-corresponden-violencia-contra-la-mujer-y-ni%C3%B1os,YES,NO,NO,YES,NO,NO,NO
LKA,Sri Lanka,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"As of 23 March 2020, the 1938 national women’s helpline is now open 24/7 (instead of during standard work hours during week days only) and was made trilingual during COVID-19.",https://www.facebook.com/SepmudBo/videos/795075014348149;,YES,NO,NO,YES,NO,NO,NO
LKA,Sri Lanka,Asia,Southern Asia,Violence against women,Collection and use of data,Not specific,"The Executive Director of the National Committee on Women has indicated that data from the 1938 women’s helpline will be compiled on a weekly basis and shared with the National Forum Against GBV. Data is also collected by the Mithuru Piyasa (gender-based violence Help Desk in hospitals) and by the 1929 Child Helpline through the National Child Protection Authority, though this is not disseminated on a regular basis or shared in the public domain.",https://www.facebook.com/Sepmudbo/posts/644677322746404;,YES,NO,NO,YES,NO,NO,NO
LKA,Sri Lanka,Asia,Southern Asia,Violence against women,Other measures,Not specific,"The Presidential Task Force on Essential Services convened a Civil Society Consortium to coordinate a humanitarian response where social service organisations will coordinate with the government’s divisional secretariats and other government officials. The purpose is to respond to the emergency health, nutrition and medical needs of the people in those vulnerable sectors. The Task Force requested support for children’s homes, elders’ homes, rehabilitation centres, probation centres, safe-houses for women and centres for people with disabilities.",https://www.facebook.com/Sepmudbo/posts/646290405918429; https://www.facebook.com/Sepmudbo/posts/647576922456444,YES,NO,NO,YES,NO,NO,NO
LKA,Sri Lanka,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"An assessment of the national hotline was undertaken. It was commissioned by the State Ministry of Women and Child Development, with support from UNDP. ",https://www.la-razon.com/sociedad/2020/04/07/la-felcv-habilita-11-lineas-whatsapp-para-denuncias-de-violencia/;,YES,NO,NO,YES,NO,NO,NO
TJK,Tajikistan,Asia,Central Asia,Violence against women,Strengthening of services,Continuity of health sector response to VAW,Ministry of Health continues running victim support rooms (VSR) at health facilities; exploring the option of increasing the number of medical facilities hosting VSRs,https://drive.google.com/file/d/1tajeb0jluIjku0bm2quR6Reaa3tLHHll/view?usp=sharing; https://www.facebook.com/Sepmudbo/posts/647576922456444;,YES,NO,NO,YES,NO,NO,NO
UZB,Uzbekistan,Asia,Central Asia,Violence against women,Strengthening of services,Continued provision of psychosocial support ,"Working jointly with NGOs, the government supported the launch of a Telegram-bot and channel to provide free psychological assistance to citizens in crisis. By mid-May 2020, a national “No to violence!” in the Telegram messenger provided 600 citizens with legal and psychological assistance (about 20 women and girls receive such assistance daily) and 8 cases of suicide were prevented.",https://www.facebook.com/Sepmudbo/posts/646777815869688;,YES,NO,NO,YES,NO,NO,NO
UZB,Uzbekistan,Asia,Central Asia,Violence against women,Strengthening of services,hotlines and reporting mechanisms,"The Gender Commission Hotline was available for women survivors of violence. The Commission on Gender Equality, together with UNFPA, in response to requests received through the hotline, provided legal and psychological advice to women and families in difficult situations during the pandemic.",https://www.facebook.com/Sepmudbo/posts/646290405918429;,YES,NO,NO,YES,NO,NO,NO
UZB,Uzbekistan,Asia,Central Asia,Violence against women,Strengthening of services,Police and justice responses to address impunity,"The Government supported NGOs to provide free legal aid, and have switched to online consultations. Information on the number of cases and categories of legal assistance provided is updated every week.",https://www.facebook.com/Sepmudbo/posts/644677322746404;,YES,NO,NO,YES,NO,NO,NO
UZB,Uzbekistan,Asia,Central Asia,Violence against women,Other measures,Not specific,"In 2020 during the COVID emergency, the Fund for the Support of Women and the Family allocated 981.6 million UZS to support rehabilitation and adaptation centers. The role of these centers is to provide emergency medical, psychological, social, pedagogical, legal and other assistance to people in difficult social situations, faced with family problems and domestic violence.",https://www.facebook.com/Sepmudbo/posts/651097265437743,YES,NO,NO,YES,NO,NO,NO
UZB,Uzbekistan,Asia,Central Asia,Violence against women,Integration of VAWG in COVID-19 response plans,Not specific,The Public Fund under the Oliy Majlis of the Republic of Uzbekistan allocated state grants to 15 organizations totaling 461 million UZS to implement projects to combat violence and harassment against women and girls throughout the pandemic period.,https://cepalstat-prod.cepal.org/forms/covid-countrysheet/index.html?country=BOL&theme=8 https://cepalstat-prod.cepal.org/forms/covid-countrysheet/index.html?country=BOL,YES,NO,NO,YES,NO,NO,NO
UZB,Uzbekistan,Asia,Central Asia,Violence against women,Strengthening of services,Coordinated accessible services,"In order to provide prompt and high-quality support to women who have suffered from harassment and violence, in 2020, standard operating procedures for a joint response to gender-based violence were developed and implemented for law enforcement agencies, healthcare workers and the socio-psychological sphere. ",https://drive.google.com/file/d/1wUta4C4Lxgaj6Qb0PJ5I6h8FHsjkBZ1G/view?usp=sharing,YES,NO,NO,YES,NO,NO,NO
UZB,Uzbekistan,Asia,Central Asia,Violence against women,Strengthening of services,Coordinated accessible services,"Per the Resolution of the President of Republic of Uzbekistan ""On additional rehabilitation measures for women-victims of violence"" # 5116 dated 19 May, 2021 and adopted by the Government, several measures have been taken to ensure the continuity and expansion of services to women survivors of violence, including: 
'- the transformation of the existing Republican Center for the Rehabilitation and Adaptation of Victims of Violence and Prevention of Suicides previously run through an associative status into a Governmental legal entity under the Ministry of Mahalla and Family support of the Republic of Uzbekistan;
'- the creation of 29 Centers for the Rehabilitation and Adaptation of Women, in particular 1 national, 14 regional and 14 inter district centers, by optimizing the existing 197 centers for the rehabilitation and adaptation of persons affected by violence and the prevention of suicides;
'- the financial and technical support to the Centers from the Governmental budget, including salaries for 63 employees and food for survivors of violence.
Public authorities and administrations carry out their activities in close cooperation with the centers without interference in their activities. Centers provide services for women survivors of violence, as well as their minor children; and women who have attempted their lives or are prone to committing suicide. The main tasks of the Centers are: the provision of emergency medical, psychological, social, legal and other assistance to the survivors of violence; assistance in ensuring the guarantees of the rights of women; the analysis of the causes and conditions of GBV, and the organization of advocacy and awareness raising activities aimed at preventing violence.",https://lex.uz/ru/docs/5426650,YES,NO,NO,YES,NO,NO,NO
IND,India,Asia,Southern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,Courts in Jammu and Kashmir presented directions to local government to address the increase in violence through the creation of special funds and designating informal spaces for women such as grocery stores and pharmacies where women could report abuse without alerting the perpetrator.,https://minmujeryeg.gob.cl/?page_id=38495,YES,NO,NO,YES,NO,NO,NO
IDN,Indonesia,Asia,South-eastern Asia,Violence against women,Collection and use of data,Not specific,"The National Commission on Violence Against Women (Komnas Perempuan) conducted a survey to understand the impact of pandemic at household level, with special attention to women's vulnerability. The result of the survey provided recommendations for policy development in response to pandemic.",https://wbl.worldbank.org/en/wbl-data; http://secretariadegenero.pjud.cl/images/documentos/COVID-19/CorteSuprema/Ley_21226.pdf ;,YES,NO,NO,YES,NO,NO,NO
IDN,Indonesia,Asia,South-eastern Asia,Violence against women,Strengthening of services,Continuity of health sector response to VAW,"The government has taken steps to ensuring continuity of clinical management of rape, sexual reproductive health services, mental health care to violence against women (VAW); connecting survivors to support services at sub national level of Jakarta Province (Local Health Agency Instruction Letter  Number 85/2020).",http://secretariadegenero.pjud.cl/images/documentos/COVID-19/CorteSuprema/AA_41-2020.pdf ;,YES,NO,NO,YES,NO,NO,NO
IDN,Indonesia,Asia,South-eastern Asia,Violence against women,Awareness raising campaigns,Not specific,"The Ministry of Women Empowerment and Child Protection raised issues of vulnerability of women increased by the pandemic in several occassions including on webinar discussions and media engagement.  Media outlets including 'Magdalene', a progressive media championing women’s rights, promote the referral pathway to survivors of sexual violence. This awareness raising was initiated by the GBV reporting centres at Service Unit of Women's and Child protection, and local hospital at Jakarta Province.",http://secretariadegenero.pjud.cl/images/documentos/COVID-19/CorteSuprema/Acta_N_53-2020_AA_por_emergencia_Sanitaria.pdf ;,YES,NO,NO,YES,NO,NO,NO
IDN,Indonesia,Asia,South-eastern Asia,Violence against women,Strengthening of services,Hotlines and reporting mechanisms,"A new protocol was applied by the Ministry Of Women Empowerment and Child Protection (MOWECP) and Integrated Services Center of the Women and Children Empowerment (P2TP2A) to direct a new way of communicating with GBV survivors and their supporters. Berjarak Communication Platform, which is facilitated by MOWECP, aims to build a communication platform to share resources to ensure the fulfillment of the basic rights of women and children during the pandemic.",http://secretariadegenero.pjud.cl/index.php/noticias/133-centro-de-apoyo-a-los-juzgados-de-familia-de-santiago-informa-medidas-de-funcionamiento-de-sus-unidades; https://www.pjud.cl/documents/396533/0/CMC+CONTINGENCIA+2020.pdf/664bdd69-b8ed-4e13-8d76-794e231b40e1;,YES,NO,NO,YES,NO,NO,NO
IDN,Indonesia,Asia,South-eastern Asia,Violence against women,Awareness raising campaigns,Not specific,"The National Population and Family Planning Board (BKKBN) and Fatayat Nahdlatul Ulama (NU), with support from UNPFA, facilitated an education session on continuation of SRH services, prevention and management of Gender Based Violence and prevention of COVID-19 transmission to 7,761 member of faith based organization and religious leaders; and awareness session on Sexual and Reproductive Health (SRH) reached 11,527 people.",https://www.chileatiende.gob.cl/fichas/27927-ingreso-de-una-demanda-en-materia-de-familia,YES,NO,NO,YES,NO,NO,NO
IDN,Indonesia,Asia,South-eastern Asia,Violence against women,Other measures,Not specific,"The Ministry of Women Empowerment and Child Protection (MoWECP), with the support of UN Women, developed a Cross-Sectoral Protocol on the Protection of Women Migrant Workers during the COVID-19 Pandemic. The protocol addresses the prevention and response to trafficking and violence against women migrant workers, as well as rehabilitation measures during the pandemic in all migration cycles, including pre-departure, at work, and return. It also specifies the need for sex-disaggregated data, and the participation of women migrant workers in COVID-19 response planning and decision-making.",https://www.unwomen.org/-/media/headquarters/attachments/sections/library/publications/2020/brief-covid-19-and-ensuring-safe-cities-and-safe-public-spaces-for-women-and-girls-en.pdf?la=en&vs=632,YES,NO,NO,YES,NO,NO,NO
IRN,Iran (Islamic Republic of),Asia,Southern Asia,Violence against women,Strengthening of services,Continued provision of psychosocial support ,"On April 11, 2020, citizens were asked via a text message to contact 123, the social emergency of State Welfare Organization in cases of any witness of child abuse or wife abuse during the lockdown period in order to receive free mental-social services. The “talk to us” campaign or telephone counseling line of 1480 responds to all citizens providing psychological support from 8 a.m. to 12 p.m.",https://www.sernameg.gob.cl/?p=30996;,YES,NO,NO,YES,NO,NO,NO
JPN,Japan,Asia,Eastern Asia,Violence against women,Strengthening of services,Continued provision of psychosocial support ,"The Government of Japan expanded time limitations for the pre-existing telephone consultation service to survivors of spousal violence under ""DV counselling +"". This new initiative will enable 24-hour-helpline and consultation via SMS and e-mails and multiple-language consultation.",https://cepalstat-prod.cepal.org/forms/covid-countrysheet/index.html?country=CHL&theme=8,YES,NO,NO,YES,NO,NO,NO
